Card Number,NAME,SSN,Customer Address,Transaction Method,Card Entry Method,Merchant,Transaction Date,Amount Completed,Balance available,Settlement Date,Terminal Location,Institution Name,Acquiring Institution Name,IsFraud
9100100604,Beverly Aadland,100000605,9446 6097 RD,Pinned Purchase,Unknown,Walmart,1-Nov,5,600,3-Nov,70510,JPMorgan Chase,SunTrust Bank,0
9100100846,Mariann Aalda,100000847,408 AABC STE 1A,Pinned Purch - Deny,MANUAL ENTRY,Target,3-Nov,7,840,4-Nov,70510,Bank of America,Charles Schwab,0
9100140534,Aaliyah,100040535,PO BOX 6595,Pinned Purch - Rev,SWIPED MACHINE READ,BJS,11-Nov,335,40200,12-Nov,57401,Wells Fargo,American Express,1
9100140655,Angela Aames,100040656,PO BOX 6075,Pinless Purchase,MANUAL ENTRY,Shell,13-Nov,336,40320,16-Nov,79601,Citigroup,Ally Financial,0
9100138356,Caroline Aaron,100038357,PO BOX 916,Pinless Purch - Deny,SWIPED MACHINE READ,BP,15-Nov,317,38040,16-Nov,79601,Goldman Sachs,RBC Bank,0
9100100604,Dorothy Abbott,100000605,PO BOX 2200,Pinless Purch - Rev,Unknown or terminal not used,Target,2-Nov,5,600,4-Nov,59001,Morgan Stanley,JPMorgan Chase,0
9100100846,Diahnne Abbott,100000847,PO BOX 773,SIG Purchase,Manual key entry,BJS,4-Nov,7,840,5-Nov,59001,U.S. Bancorp,Bank of America,1
9100140534,Rose Abdoo,100040535,1501 COUNTY RD 245,Inquiry,Mag stripe read ? CVV checking not possible,MBTA,6-Nov,335,40200,7-Nov,59001,Bank of New York Mellon,Wells Fargo,0
9100140655,Paula Abdul,100040656,PO BOX 604,Signature Purch - Deny,Barcode read,Amazon.com,8-Nov,336,40320,11-Nov,49221,PNC Bank,Citigroup,0
9100138356,Rakefet Abergel,100038357,PO BOX 1327,SIG Purchase - Rev,Unknown,Uber,10-Nov,317,38040,11-Nov,1001,Capital One,Goldman Sachs,0
4003170000000000,Betty Aberlin,100000605,5123 FRYING PAN RD,Pre-Auth Purch,MANUAL ENTRY,Draftkings,12-Nov,5,600,14-Nov,1001,HSBC,Morgan Stanley,0
4003170000000000,Donzaleigh Abernathy,100000847,115 W PARK ST,Pre-Auth - Deny,SWIPED MACHINE READ,,14-Nov,7,840,15-Nov,74824,TD Bank,U.S. Bancorp,0
4003170000000000,Whitney Able,100040535,PO BOX 3524,Withdrawal,MANUAL ENTRY,Target,16-Nov,335,40200,17-Nov,85320,State Street,Citizens Bank,0
4003170000000000,Amy Acker,100040656,710 E 5TH ST,Withdrawal - Deny,SWIPED MACHINE READ,BJS,7-Nov,336,40320,10-Nov,29801,BB&T,USAA,1
4003170000000000,Jean Acker,100038357,PO BOX 1304,Withdrawal - Rev,Unknown or terminal not used,,9-Nov,317,38040,10-Nov,85321,SunTrust Bank,Fifth Third Bank,0
4003170000000000,Bettye Ackerman,100000605,PO BOX 1367,Unknown,Manual key entry,Flowers.com,11-Nov,5,600,13-Nov,31701,Charles Schwab,BMO Harris Bank,1
4003170000000000,Leslie Ackerman,100000847,740 ROUTE GOURDON,Other - Reversal,Mag stripe read ? CVV checking not possible,Walmart,2-Nov,7,840,3-Nov,31701,American Express,Santander Bank,0
4003170000000000,Anabelle Acosta,100040535,1555 SHADOW RUN COURT #D301,Other - Deny,Barcode read,Target,4-Nov,335,40200,5-Nov,31707,Ally Financial,Regions Bank,0
4003170000000000,Acquanetta,100040656,652 1/2 MAIN AVE,Transfer,Unknown,BJS,6-Nov,336,40320,9-Nov,12207,RBC Bank,M&T Bank,1
4003170000000000,Ava Acres,100038357,PO BOX 6063,Transfer - Rev,MANUAL ENTRY,Shell,8-Nov,317,38040,9-Nov,12210,Citizens Bank,Northern Trust,0
9100100604,Isabella Acres,100000605,32850 S ELK DR,Transfer - Deny,SWIPED MACHINE READ,BP,5-Nov,5,600,7-Nov,12207,USAA,Union Bank,0
9100100846,Tatum Adair,100000847,PO BOX 1770,Pinless POS Transactions,MANUAL ENTRY,Target,7-Nov,7,840,8-Nov,12210,Fifth Third Bank,KeyCorp,0
9100140534,Kathryn Adams Doty,100040535,PO BOX 6993,Pinned POS Transactions,SWIPED MACHINE READ,BJS,9-Nov,335,40200,10-Nov,35950,BMO Harris Bank,MSN Banknorth,1
9100140655,Amy Adams,100040656,PO BOX 1151,Signature POS Transactions,Unknown or terminal not used,,1-Nov,336,40320,4-Nov,87109,Santander Bank,Bank of New York Mellon,0
9100138356,Beverly Adams,100038357,2501 CISAR CT UNIT C1,Miscellaneous,Manual key entry,Amazon.com,3-Nov,317,38040,4-Nov,87106,Regions Bank,PNC Bank,0
9100100604,Brooke Adams (actress),100000605,PO BOX 6184,MIscellaneous - Reversal,Mag stripe read ? CVV checking not possible,Uber,11-Nov,5,600,13-Nov,87108,M&T Bank,Capital One,0
9100100846,Catlin Adams,100000847,226 MESA GRANDE DR,Miscellaneous - Deny,Barcode read,Draftkings,13-Nov,7,840,14-Nov,87109,Northern Trust,HSBC,0
9100140534,Dorothy Adams,100040535,251 SHOOTER LN,ATM Withdrawal Transactions,Unknown,Nightlife,15-Nov,335,40200,16-Nov,87110,Union Bank,TD Bank,0
9100140655,Eadie Adams,100040656,379 STAGECOACH LN,ATM - Other,MANUAL ENTRY,Target,2-Nov,336,40320,5-Nov,71302,KeyCorp,State Street,0
9100138356,Freya Adams,100038357,7402 COUNTY ROAD 312,NewPymnt,SWIPED MACHINE READ,BJS,4-Nov,317,38040,5-Nov,71302,MSN Banknorth,BB&T,1
